semana,z_menos_3,z_menos_2,z_menos_1,z_zero,z_mais_1,z_mais_2,z_mais_3
27,25.76,27.61,29.58,31.70,33.97,36.40,39.00
28,27.68,29.50,31.43,33.50,35.70,38.05,40.54
29,29.50,31.29,33.20,35.21,37.35,39.62,42.03
30,31.24,33.00,34.87,36.84,38.93,41.13,43.46
31,32.88,34.62,36.46,38.39,40.43,42.57,44.83
32,34.43,36.16,37.97,39.86,41.86,43.95,46.15
33,35.91,37.61,39.39,41.26,43.22,45.27,47.42
34,37.30,38.98,40.75,42.59,44.52,46.54,48.64
35,38.61,40.28,42.03,43.86,45.76,47.75,49.82
36,39.85,41.52,43.25,45.06,46.95,48.91,50.95
37,41.02,42.68,44.41,46.21,48.08,50.02,52.05
38,42.13,43.79,45.51,47.30,49.16,51.09,53.10
39,43.18,44.84,46.55,48.34,50.19,52.12,54.12
40,44.17,45.83,47.55,49.33,51.19,53.11,55.10
41,45.11,46.77,48.50,50.29,52.14,54.06,56.05
42,46.01,47.67,49.40,51.19,53.05,54.98,56.97
43,46.85,48.53,50.27,52.06,53.93,55.86,57.86
44,47.66,49.34,51.09,52.90,54.77,56.71,58.72
45,48.42,50.12,51.88,53.70,55.58,57.53,59.55
46,49.15,50.87,52.64,54.47,56.37,58.33,60.36
47,49.85,51.58,53.36,55.21,57.12,59.10,61.14
48,50.52,52.26,54.06,55.92,57.85,59.84,61.91
49,51.15,52.91,54.73,56.61,58.55,60.56,62.65
50,51.76,53.53,55.37,57.27,59.23,61.27,63.37
51,52.34,54.14,55.99,57.91,59.89,61.94,64.07
52,52.90,54.72,56.59,58.53,60.53,62.61,64.75
53,53.44,55.27,57.17,59.13,61.15,63.25,65.41
54,53.96,55.81,57.72,59.70,61.75,63.87,66.06
55,54.46,56.33,58.26,60.27,62.34,64.48,66.70
56,54.94,56.83,58.79,60.81,62.91,65.07,67.31
57,55.40,57.31,59.29,61.34,63.46,65.65,67.92
58,55.85,57.78,59.79,61.86,64.00,66.22,68.51
59,56.28,58.24,60.26,62.36,64.53,66.77,69.09
60,56.70,58.68,60.73,62.85,65.04,67.31,69.65
61,57.11,59.11,61.18,63.32,65.54,67.83,70.21
62,57.51,59.53,61.62,63.79,66.03,68.35,70.75
63,57.89,59.94,62.05,64.24,66.51,68.86,71.28
64,58.27,60.33,62.47,64.68,66.98,69.35,71.81
