semana,z_menos_3,z_menos_2,z_menos_1,z_zero,z_mais_1,z_mais_2,z_mais_3
27,26.59,28.49,30.53,32.71,35.05,37.56,40.25
28,28.56,30.44,32.44,34.57,36.84,39.26,41.84
29,30.45,32.30,34.26,36.34,38.55,40.89,43.37
30,32.24,34.06,35.99,38.02,40.17,42.45,44.85
31,33.93,35.73,37.63,39.62,41.72,43.93,46.26
32,35.54,37.31,39.18,41.14,43.20,45.36,47.63
33,37.05,38.81,40.65,42.58,44.60,46.72,48.94
34,38.49,40.23,42.05,43.96,45.95,48.03,50.20
35,39.84,41.57,43.38,45.26,47.23,49.28,51.41
36,41.12,42.84,44.64,46.50,48.45,50.47,52.58
37,42.33,44.05,45.83,47.69,49.62,51.62,53.71
38,43.48,45.19,46.97,48.81,50.73,52.73,54.80
39,44.56,46.27,48.04,49.89,51.80,53.79,55.85
40,45.59,47.30,49.07,50.91,52.82,54.81,56.86
41,46.56,48.27,50.05,51.89,53.81,55.79,57.84
42,47.48,49.20,50.98,52.83,54.75,56.73,58.79
43,48.35,50.08,51.87,53.73,55.65,57.65,59.71
44,49.18,50.92,52.73,54.59,56.52,58.52,60.60
45,49.97,51.73,53.54,55.42,57.36,59.37,61.46
46,50.73,52.49,54.32,56.21,58.17,60.19,62.29
47,51.45,53.23,55.07,56.98,58.95,60.99,63.10
48,52.13,53.93,55.79,57.71,59.70,61.76,63.89
49,52.79,54.60,56.48,58.42,60.43,62.50,64.65
50,53.42,55.25,57.14,59.10,61.13,63.23,65.39
51,54.02,55.87,57.78,59.76,61.81,63.93,66.12
52,54.60,56.47,58.40,60.40,62.47,64.61,66.82
53,55.15,57.04,59.00,61.02,63.11,65.27,67.51
54,55.68,57.60,59.57,61.62,63.73,65.92,68.18
55,56.20,58.13,60.13,62.20,64.33,66.54,68.83
56,56.70,58.65,60.67,62.76,64.92,67.16,69.47
57,57.17,59.15,61.19,63.30,65.49,67.75,70.09
58,57.64,59.63,61.70,63.84,66.05,68.34,70.70
59,58.08,60.10,62.19,64.35,66.59,68.90,71.30
60,58.52,60.56,62.67,64.86,67.12,69.46,71.88
61,58.94,61.00,63.14,65.35,67.64,70.00,72.45
62,59.35,61.43,63.59,65.83,68.14,70.54,73.02
63,59.75,61.85,64.04,66.30,68.64,71.06,73.57
64,60.13,62.26,64.47,66.75,69.12,71.57,74.11
