semana,z_menos_3,z_menos_2,z_menos_1,z_zero,z_mais_1,z_mais_2,z_mais_3
27,19.57,21.31,23.04,24.78,26.51,28.24,29.98
28,21.11,22.71,24.31,25.90,27.50,29.10,30.69
29,22.51,23.99,25.47,26.95,28.43,29.91,31.40
30,23.78,25.16,26.55,27.93,29.32,30.70,32.08
31,24.94,26.24,27.55,28.85,30.15,31.45,32.75
32,26.00,27.24,28.47,29.71,30.94,32.17,33.41
33,26.98,28.16,29.34,30.51,31.69,32.87,34.05
34,27.88,29.01,30.14,31.27,32.40,33.53,34.66
35,28.72,29.81,30.90,31.99,33.08,34.17,35.26
36,29.49,30.55,31.61,32.67,33.72,34.78,35.84
37,30.20,31.24,32.27,33.30,34.34,35.37,36.41
38,30.87,31.88,32.90,33.91,34.93,35.94,36.95
39,31.49,32.49,33.49,34.49,35.48,36.48,37.48
40,32.07,33.06,34.04,35.03,36.02,37.01,38.00
41,32.61,33.59,34.57,35.55,36.53,37.51,38.49
42,33.12,34.09,35.07,36.05,37.02,38.00,38.97
43,33.60,34.57,35.54,36.52,37.49,38.47,39.44
44,34.05,35.02,35.99,36.97,37.94,38.92,39.89
45,34.47,35.45,36.42,37.40,38.38,39.35,40.33
46,34.87,35.85,36.83,37.81,38.79,39.77,40.75
47,35.24,36.23,37.22,38.20,39.19,40.18,41.16
48,35.60,36.59,37.59,38.58,39.58,40.57,41.56
49,35.94,36.94,37.94,38.94,39.95,40.95,41.95
50,36.26,37.27,38.28,39.29,40.30,41.31,42.32
51,36.56,37.58,38.60,39.63,40.65,41.67,42.69
52,36.85,37.88,38.92,39.95,40.98,42.01,43.04
53,37.13,38.17,39.21,40.26,41.30,42.34,43.39
54,37.39,38.44,39.50,40.55,41.61,42.66,43.72
55,37.64,38.71,39.77,40.84,41.91,42.98,44.04
56,37.88,38.96,40.04,41.12,42.20,43.28,44.36
57,38.10,39.20,40.29,41.38,42.48,43.57,44.67
58,38.32,39.43,40.53,41.64,42.75,43.86,44.96
59,38.53,39.65,40.77,41.89,43.01,44.13,45.25
60,38.73,39.86,41.00,42.13,43.27,44.40,45.54
61,38.92,40.07,41.22,42.36,43.51,44.66,45.81
62,39.10,40.26,41.43,42.59,43.75,44.92,46.08
63,39.28,40.45,41.63,42.81,43.99,45.16,46.34
64,39.44,40.64,41.83,43.02,44.21,45.40,46.59
