key,l,m,s
90,-0.3833,2.4607,0.09029
91,-0.3833,2.5457,0.09033
92,-0.3833,2.6306,0.09037
93,-0.3833,2.7155,0.0904
94,-0.3833,2.8007,0.09044
95,-0.3833,2.8867,0.09048
96,-0.3833,2.9741,0.09052
97,-0.3833,3.0636,0.09056
98,-0.3833,3.156,0.0906
99,-0.3833,3.252,0.09064
100,-0.3833,3.3518,0.09068
101,-0.3833,3.4557,0.09072
102,-0.3833,3.5636,0.09076
103,-0.3833,3.6754,0.0908
104,-0.3833,3.7911,0.09085
105,-0.3833,3.9105,0.09089
106,-0.3833,4.0332,0.09093
107,-0.3833,4.1591,0.09098
108,-0.3833,4.2875,0.09102
109,-0.3833,4.4179,0.09106
110,-0.3833,4.5498,0.0911
111,-0.3833,4.6827,0.09114
112,-0.3833,4.8162,0.09118
113,-0.3833,4.95,0.09121
114,-0.3833,5.0837,0.09125
115,-0.3833,5.2173,0.09128
116,-0.3833,5.3507,0.0913
117,-0.3833,5.4834,0.09132
118,-0.3833,5.6151,0.09134
119,-0.3833,5.7454,0.09135
120,-0.3833,5.8742,0.09136
121,-0.3833,6.0014,0.09137
122,-0.3833,6.127,0.09137
123,-0.3833,6.2511,0.09136
124,-0.3833,6.3738,0.09135
125,-0.3833,6.4948,0.09133
126,-0.3833,6.6144,0.09131
127,-0.3833,6.7328,0.09129
128,-0.3833,6.8501,0.09126
129,-0.3833,6.9662,0.09123
130,-0.3833,7.0812,0.09119
131,-0.3833,7.195,0.09115
132,-0.3833,7.3076,0.0911
133,-0.3833,7.4189,0.09106
134,-0.3833,7.5288,0.09101
135,-0.3833,7.6375,0.09096
136,-0.3833,7.7448,0.0909
137,-0.3833,7.8509,0.09085
138,-0.3833,7.9559,0.09079
139,-0.3833,8.0599,0.09074
140,-0.3833,8.163,0.09068
141,-0.3833,8.2651,0.09062
142,-0.3833,8.3666,0.09056
143,-0.3833,8.4676,0.0905
144,-0.3833,8.5679,0.09043
145,-0.3833,8.6674,0.09037
146,-0.3833,8.7661,0.09031
147,-0.3833,8.8638,0.09025
148,-0.3833,8.9601,0.09018
149,-0.3833,9.0552,0.09012
150,-0.3833,9.149,0.09005
151,-0.3833,9.2418,0.08999
152,-0.3833,9.3337,0.08992
153,-0.3833,9.4252,0.08985
154,-0.3833,9.5166,0.08979
155,-0.3833,9.6086,0.08972
156,-0.3833,9.7015,0.08965
157,-0.3833,9.7957,0.08959
158,-0.3833,9.8915,0.08952
159,-0.3833,9.9892,0.08946
160,-0.3833,10.0891,0.0894
161,-0.3833,10.1916,0.08934
162,-0.3833,10.2965,0.08928
163,-0.3833,10.4041,0.08923
164,-0.3833,10.514,0.08918
165,-0.3833,10.6263,0.08914
166,-0.3833,10.741,0.0891
167,-0.3833,10.8578,0.08906
168,-0.3833,10.9767,0.08903
169,-0.3833,11.0974,0.089
170,-0.3833,11.2198,0.08898
171,-0.3833,11.3435,0.08897
172,-0.3833,11.4684,0.08895
173,-0.3833,11.594,0.08895
174,-0.3833,11.7201,0.08895
175,-0.3833,11.8461,0.08895
176,-0.3833,11.972,0.08896
177,-0.3833,12.0976,0.08898
178,-0.3833,12.2229,0.089
179,-0.3833,12.3477,0.08903
180,-0.3833,12.4723,0.08906
181,-0.3833,12.5965,0.08909
182,-0.3833,12.7205,0.08913
183,-0.3833,12.8443,0.08918
184,-0.3833,12.9681,0.08923
185,-0.3833,13.092,0.08928
186,-0.3833,13.2158,0.08934
187,-0.3833,13.3399,0.08941
188,-0.3833,13.4643,0.08948
189,-0.3833,13.5892,0.08955
190,-0.3833,13.7146,0.08963
191,-0.3833,13.8408,0.08972
192,-0.3833,13.9676,0.08981
193,-0.3833,14.0953,0.0899
194,-0.3833,14.2239,0.09
195,-0.3833,14.3537,0.0901
196,-0.3833,14.4848,0.09021
197,-0.3833,14.6174,0.09033
198,-0.3833,14.7519,0.09044
199,-0.3833,14.8882,0.09057
200,-0.3833,15.0267,0.09069
201,-0.3833,15.1676,0.09083
202,-0.3833,15.3108,0.09096
203,-0.3833,15.4564,0.0911
204,-0.3833,15.6046,0.09125
205,-0.3833,15.7553,0.09139
206,-0.3833,15.9087,0.09155
207,-0.3833,16.0645,0.0917
208,-0.3833,16.2229,0.09186
209,-0.3833,16.3837,0.09203
210,-0.3833,16.547,0.09219
211,-0.3833,16.7129,0.09236
212,-0.3833,16.8814,0.09254
213,-0.3833,17.0527,0.09271
214,-0.3833,17.2269,0.09289
215,-0.3833,17.4039,0.09307
216,-0.3833,17.5839,0.09326
217,-0.3833,17.7668,0.09344
218,-0.3833,17.9526,0.09363
219,-0.3833,18.1412,0.09382
220,-0.3833,18.3324,0.09401
