key,l,m,s
90,-0.3521,2.441,0.09182
91,-0.3521,2.5244,0.09153
92,-0.3521,2.6077,0.09124
93,-0.3521,2.6913,0.09094
94,-0.3521,2.7755,0.09065
95,-0.3521,2.8609,0.09036
96,-0.3521,2.948,0.09007
97,-0.3521,3.0377,0.08977
98,-0.3521,3.1308,0.08948
99,-0.3521,3.2276,0.08919
100,-0.3521,3.3278,0.0889
101,-0.3521,3.4311,0.08861
102,-0.3521,3.5376,0.08831
103,-0.3521,3.6477,0.08801
104,-0.3521,3.762,0.08771
105,-0.3521,3.8814,0.08741
106,-0.3521,4.006,0.08711
107,-0.3521,4.1354,0.08681
108,-0.3521,4.2693,0.08651
109,-0.3521,4.4066,0.08621
110,-0.3521,4.5467,0.08592
111,-0.3521,4.6892,0.08563
112,-0.3521,4.8338,0.08535
113,-0.3521,4.9796,0.08507
114,-0.3521,5.1259,0.08481
115,-0.3521,5.2721,0.08455
116,-0.3521,5.418,0.0843
117,-0.3521,5.5632,0.08406
118,-0.3521,5.7074,0.08383
119,-0.3521,5.8501,0.08362
120,-0.3521,5.9907,0.08342
121,-0.3521,6.1284,0.08324
122,-0.3521,6.2632,0.08308
123,-0.3521,6.3954,0.08292
124,-0.3521,6.5251,0.08279
125,-0.3521,6.6527,0.08266
126,-0.3521,6.7786,0.08255
127,-0.3521,6.9028,0.08245
128,-0.3521,7.0255,0.08236
129,-0.3521,7.1467,0.08229
130,-0.3521,7.2666,0.08223
131,-0.3521,7.3854,0.08218
132,-0.3521,7.5034,0.08215
133,-0.3521,7.6206,0.08213
134,-0.3521,7.737,0.08212
135,-0.3521,7.8526,0.08212
136,-0.3521,7.9674,0.08214
137,-0.3521,8.0816,0.08216
138,-0.3521,8.1955,0.08219
139,-0.3521,8.3092,0.08224
140,-0.3521,8.4227,0.08229
141,-0.3521,8.5358,0.08235
142,-0.3521,8.648,0.08241
143,-0.3521,8.7594,0.08248
144,-0.3521,8.8697,0.08254
145,-0.3521,8.9788,0.08262
146,-0.3521,9.0865,0.08269
147,-0.3521,9.1927,0.08276
148,-0.3521,9.2974,0.08283
149,-0.3521,9.401,0.08289
150,-0.3521,9.5032,0.08295
151,-0.3521,9.6041,0.08301
152,-0.3521,9.7033,0.08307
153,-0.3521,9.8007,0.08311
154,-0.3521,9.8963,0.08314
155,-0.3521,9.9902,0.08317
156,-0.3521,10.0827,0.08318
157,-0.3521,10.1741,0.08318
158,-0.3521,10.2649,0.08316
159,-0.3521,10.3558,0.08313
160,-0.3521,10.4475,0.08308
161,-0.3521,10.5405,0.08301
162,-0.3521,10.6352,0.08293
163,-0.3521,10.7322,0.08284
164,-0.3521,10.8321,0.08273
165,-0.3521,10.935,0.0826
166,-0.3521,11.0415,0.08246
167,-0.3521,11.1516,0.08231
168,-0.3521,11.2651,0.08215
169,-0.3521,11.3817,0.08198
170,-0.3521,11.5007,0.08181
171,-0.3521,11.6218,0.08163
172,-0.3521,11.7444,0.08145
173,-0.3521,11.8678,0.08128
174,-0.3521,11.9916,0.08111
175,-0.3521,12.1152,0.08096
176,-0.3521,12.2382,0.08082
177,-0.3521,12.3603,0.08069
178,-0.3521,12.4815,0.08058
179,-0.3521,12.6017,0.08048
180,-0.3521,12.7209,0.08041
181,-0.3521,12.8392,0.08034
182,-0.3521,12.9569,0.0803
183,-0.3521,13.0742,0.08026
184,-0.3521,13.191,0.08025
185,-0.3521,13.3075,0.08025
186,-0.3521,13.4239,0.08026
187,-0.3521,13.5404,0.08029
188,-0.3521,13.6572,0.08034
189,-0.3521,13.7746,0.0804
190,-0.3521,13.8928,0.08047
191,-0.3521,14.012,0.08056
192,-0.3521,14.1325,0.08067
193,-0.3521,14.2544,0.08078
194,-0.3521,14.3782,0.08092
195,-0.3521,14.5038,0.08106
196,-0.3521,14.6316,0.08122
197,-0.3521,14.7614,0.08139
198,-0.3521,14.8934,0.08157
199,-0.3521,15.0275,0.08177
200,-0.3521,15.1637,0.08198
201,-0.3521,15.3018,0.0822
202,-0.3521,15.4419,0.08243
203,-0.3521,15.5838,0.08267
204,-0.3521,15.7276,0.08292
205,-0.3521,15.8732,0.08317
206,-0.3521,16.0206,0.08343
207,-0.3521,16.1697,0.0837
208,-0.3521,16.3204,0.08397
209,-0.3521,16.4728,0.08425
210,-0.3521,16.6268,0.08453
211,-0.3521,16.7826,0.08481
212,-0.3521,16.9401,0.0851
213,-0.3521,17.0995,0.08539
214,-0.3521,17.2607,0.08568
215,-0.3521,17.4237,0.08599
216,-0.3521,17.5885,0.08629
217,-0.3521,17.7553,0.0866
218,-0.3521,17.9242,0.08691
219,-0.3521,18.0954,0.08723
220,-0.3521,18.2689,0.08755
